,LJL7,0MRS,5JMY,PARY
Pt,54.8,-207.1,-102.4,254.7
RawPt,14.8,-47.1,-82.4,114.7
AP,2.43,2.77,2.53,2.27
RR,20.06,15.88,15.6,20.89
WR,23.96,19.22,16.99,21.45
DIR,13.65,11.7,10.31,13.65
RenR,60.0,30.0,46.67,63.33
A4R,70.0,73.33,73.33,83.33
RWR,48.61,50.88,41.07,53.33
RDIR,18.06,10.53,10.71,5.33
APW,5936.0,6517.0,6403.0,7330.0
APD,5657.0,6043.0,5968.0,4643.0
1st,8.0,6.0,8.0,8.0
2nd,10.0,3.0,6.0,11.0
3rd,3.0,13.0,8.0,6.0
4th,9.0,8.0,8.0,5.0
HiScr,56700.0,72200.0,58200.0,58000.0
LoScr,-7400.0,-5200.0,-3300.0,7500.0
